Entity,Code,Year,Age,"Deaths from malignant neoplasms per 100,000 people in, both sexes"
Malaysia,MYS,2000,less than 1,29.40382
Malaysia,MYS,2000,1 to 19,119.903995
Malaysia,MYS,2000,20 to 39,301.857697
Malaysia,MYS,2000,40 to 59,2277.11055
Malaysia,MYS,2000,60 to 79,7667.924
Malaysia,MYS,2000,over 80,6072.417
Malaysia,MYS,2001,less than 1,26.24667
Malaysia,MYS,2001,1 to 19,137.064306
Malaysia,MYS,2001,20 to 39,309.483374
Malaysia,MYS,2001,40 to 59,2396.20768
Malaysia,MYS,2001,60 to 79,7171.6408
Malaysia,MYS,2001,over 80,5293.2202
Malaysia,MYS,2002,less than 1,11.595929
Malaysia,MYS,2002,1 to 19,113.953221
Malaysia,MYS,2002,20 to 39,304.200303
Malaysia,MYS,2002,40 to 59,2324.06213
Malaysia,MYS,2002,60 to 79,7821.8254
Malaysia,MYS,2002,over 80,6182.6907
Malaysia,MYS,2003,less than 1,26.053462
Malaysia,MYS,2003,1 to 19,124.344953
Malaysia,MYS,2003,20 to 39,347.917719
Malaysia,MYS,2003,40 to 59,2484.64046
Malaysia,MYS,2003,60 to 79,7737.8186
Malaysia,MYS,2003,over 80,6119.6301
Malaysia,MYS,2004,less than 1,16.597992
Malaysia,MYS,2004,1 to 19,137.131416
Malaysia,MYS,2004,20 to 39,340.482008
Malaysia,MYS,2004,40 to 59,2473.85273
Malaysia,MYS,2004,60 to 79,8073.9395
Malaysia,MYS,2004,over 80,6626.2093
Malaysia,MYS,2005,less than 1,23.433073
Malaysia,MYS,2005,1 to 19,128.141387
Malaysia,MYS,2005,20 to 39,311.407191
Malaysia,MYS,2005,40 to 59,2568.378
Malaysia,MYS,2005,60 to 79,7861.1928
Malaysia,MYS,2005,over 80,7049.533
Malaysia,MYS,2006,less than 1,30.26523
Malaysia,MYS,2006,1 to 19,131.014577
Malaysia,MYS,2006,20 to 39,301.772231
Malaysia,MYS,2006,40 to 59,2639.81444
Malaysia,MYS,2006,60 to 79,8210.63074
Malaysia,MYS,2006,over 80,6244.6997
Malaysia,MYS,2007,less than 1,26.385224
Malaysia,MYS,2007,1 to 19,129.469486
Malaysia,MYS,2007,20 to 39,326.554922
Malaysia,MYS,2007,40 to 59,2624.26278
Malaysia,MYS,2007,60 to 79,9257.7155
Malaysia,MYS,2007,over 80,5447.9701
Malaysia,MYS,2008,less than 1,24.266937
Malaysia,MYS,2008,1 to 19,128.443583
Malaysia,MYS,2008,20 to 39,324.741052
Malaysia,MYS,2008,40 to 59,2650.33537
Malaysia,MYS,2008,60 to 79,9468.9953
Malaysia,MYS,2008,over 80,5809.5886
Malaysia,MYS,2009,less than 1,25.80681
Malaysia,MYS,2009,1 to 19,121.561079
Malaysia,MYS,2009,20 to 39,293.710431
Malaysia,MYS,2009,40 to 59,2385.22009
Malaysia,MYS,2009,60 to 79,8522.8141
Malaysia,MYS,2009,over 80,4996.6388
Malaysia,MYS,2010,less than 1,26.217077
Malaysia,MYS,2010,1 to 19,121.167989
Malaysia,MYS,2010,20 to 39,281.685567
Malaysia,MYS,2010,40 to 59,2471.99796
Malaysia,MYS,2010,60 to 79,8448.1551
Malaysia,MYS,2010,over 80,4693.6876
Malaysia,MYS,2011,less than 1,17.883188
Malaysia,MYS,2011,1 to 19,120.158544
Malaysia,MYS,2011,20 to 39,291.412751
Malaysia,MYS,2011,40 to 59,2481.43279
Malaysia,MYS,2011,60 to 79,8810.0661
Malaysia,MYS,2011,over 80,5057.4804
Malaysia,MYS,2012,less than 1,30.601335
Malaysia,MYS,2012,1 to 19,133.46386
Malaysia,MYS,2012,20 to 39,289.963787
Malaysia,MYS,2012,40 to 59,2477.50394
Malaysia,MYS,2012,60 to 79,8394.6723
Malaysia,MYS,2012,over 80,5200.7196
Malaysia,MYS,2013,less than 1,15.136122
Malaysia,MYS,2013,1 to 19,110.751323
