Entity,Code,Year,"Age-standardized deaths from bladder cancer in both sexes per 100,000 people","Age-standardized deaths from colon and rectum cancers in both sexes per 100,000 people","Age-standardized deaths from pancreas cancer in both sexes per 100,000 people","Age-standardized deaths from breast cancer in both sexes per 100,000 people","Age-standardized deaths from corpus uteri cancer in both sexes per 100,000 people","Age-standardized deaths from kidney cancer in both sexes per 100,000 people","Age-standardized deaths from oesophagus cancer in both sexes per 100,000 people","Age-standardized deaths from melanoma and other skin cancers in both sexes per 100,000 people","Age-standardized deaths from prostate cancer in both sexes per 100,000 people","Age-standardized deaths from thyroid cancer in both sexes per 100,000 people","Age-standardized deaths from testicular cancer in both sexes per 100,000 people","Age-standardized deaths from trachea, bronchus, lung cancers in both sexes per 100,000 people","Age-standardized deaths from mouth and oropharynx cancers in both sexes per 100,000 people","Age-standardized deaths from ovary cancer in both sexes per 100,000 people","Age-standardized deaths from larynx cancer in both sexes per 100,000 people","Age-standardized deaths from gallbladder and biliary tract cancer in both sexes per 100,000 people","Age-standardized deaths from cervix uteri cancer in both sexes per 100,000 people","Age-standardized deaths from stomach cancer in both sexes per 100,000 people","Age-standardized deaths from brain and nervous system cancers in both sexes per 100,000 people","Age-standardized deaths from liver cancer in both sexes per 100,000 people",Continent
Albania,ALB,1987,0.09916479,2.37789,2.0657334,3.2387831,1.8596307,,2.2007337,2.0279934,3.6644876,,0.30021444,21.17492,3.4080694,0.53940034,2.616829,,0.38325635,11.04085,3.2300928,,Europe
Albania,ALB,1988,0.19622076,3.882006,2.4746256,2.5781834,2.0584912,,2.3991594,1.6571901,4.390699,,0.38987386,23.047655,4.684407,0.9299435,3.1376932,,0.50954396,12.94678,3.3574855,,Europe
Albania,ALB,1989,0.0441704,3.4622316,1.9555315,3.1176913,2.175244,,1.6824794,1.2537979,5.0740433,,0.41016784,19.306635,4.5117173,0.76406187,2.9643705,,0.48789093,12.972528,3.278628,,Europe
Albania,ALB,1992,0.08343782,2.4945974,1.5224555,2.8641176,1.8217607,,1.2313163,1.3157408,3.6622229,,0.14279145,16.941454,3.252922,0.38886204,2.361314,,0.30893078,11.501205,3.5686963,,Europe
Albania,ALB,1993,0.12912494,2.5322132,1.5672592,2.6134884,1.0477308,,1.1232353,1.2478606,3.5071805,,0.07160276,15.851012,3.174761,0.3739795,2.2327225,,0.15871485,9.383472,2.4305742,,Europe
Albania,ALB,1994,0.0,2.1192153,1.2549087,2.47532,0.921116,,0.895309,0.9418199,3.6816006,,0.13020925,13.996148,2.2858768,0.13123971,1.4365199,,0.34586003,7.635748,2.2073066,,Europe
Albania,ALB,1995,0.0,3.166301,2.7534103,3.1459105,1.6772157,,0.88535744,1.4272759,3.148407,,0.30282164,20.264757,1.7261999,0.18189055,2.1150255,,0.2446963,10.8103895,3.3110452,,Europe
Albania,ALB,1996,0.0,2.965215,2.6155705,3.3422997,1.7748498,,1.3722842,1.3911455,4.451579,,0.13234082,22.522184,1.8329132,0.22012435,2.009497,,0.67058337,13.1001625,4.588085,,Europe
Albania,ALB,1997,0.0,2.7467628,2.1556263,2.9760587,2.086007,,1.0410681,2.0366757,3.7522318,,0.14668433,22.97112,1.248211,0.26677915,2.1701286,,0.6088485,11.858477,4.0398917,,Europe
Albania,ALB,1998,0.0,3.3269267,2.89496,3.4754195,1.6866677,,0.8622907,1.7117641,4.487436,,0.09684999,22.819641,1.974161,0.4048625,1.688031,,0.34865737,12.967612,3.730463,,Europe
