Entity,Code,Year,Cancer Type,"Age-standardized deaths in both sexes per 100,000 people"
Malaysia,MYS,2000,bladder cancer,0.6105167
Malaysia,MYS,2000,colon and rectum cancers,3.4853137
Malaysia,MYS,2000,pancreas cancer,0.81863433
Malaysia,MYS,2000,breast cancer,2.4431665
Malaysia,MYS,2000,corpus uteri cancer,0.3154238
Malaysia,MYS,2000,kidney cancer,0.25673094
Malaysia,MYS,2000,oesophagus cancer,0.887565
Malaysia,MYS,2000,melanoma and other,0.21076646
Malaysia,MYS,2000,prostate cancer,0.58493274
Malaysia,MYS,2000,thyroid cancer,0.34918967
Malaysia,MYS,2000,testicular cancer,0.02620221
Malaysia,MYS,2000,"trachea, bronchus, lung cancers",8.135024
Malaysia,MYS,2000,mouth and oropharynx cancers,2.460429
Malaysia,MYS,2000,ovary cancer,0.826961
Malaysia,MYS,2000,larynx cancer,0.32023865
Malaysia,MYS,2000,gallbladder and biliary tract cancer,0.22197418
Malaysia,MYS,2000,cervix uteri cancer,1.0027245
Malaysia,MYS,2000,stomach cancer,2.0926876
Malaysia,MYS,2000,brain and nervous system cancers,0.404945
Malaysia,MYS,2000,liver cancer,3.7417846
Malaysia,MYS,2001,bladder cancer,0.5368365
Malaysia,MYS,2001,colon and rectum cancers,3.4164436
Malaysia,MYS,2001,pancreas cancer,1.1474799
Malaysia,MYS,2001,breast cancer,2.671512
Malaysia,MYS,2001,corpus uteri cancer,0.26586235
Malaysia,MYS,2001,kidney cancer,0.4201592
Malaysia,MYS,2001,oesophagus cancer,0.66693985
Malaysia,MYS,2001,melanoma and other,0.19231944
Malaysia,MYS,2001,prostate cancer,0.6572461
Malaysia,MYS,2001,thyroid cancer,0.3354585
Malaysia,MYS,2001,testicular cancer,0.05079669
Malaysia,MYS,2001,"trachea, bronchus, lung cancers",8.217258
Malaysia,MYS,2001,mouth and oropharynx cancers,2.1849225
Malaysia,MYS,2001,ovary cancer,0.75137424
Malaysia,MYS,2001,larynx cancer,0.2572352
Malaysia,MYS,2001,gallbladder and biliary tract cancer,0.24767306
Malaysia,MYS,2001,cervix uteri cancer,1.2133571
Malaysia,MYS,2001,stomach cancer,1.9203514
Malaysia,MYS,2001,brain and nervous system cancers,0.5892169
Malaysia,MYS,2001,liver cancer,3.503003
Malaysia,MYS,2002,bladder cancer,0.3931502
Malaysia,MYS,2002,colon and rectum cancers,3.6553776
Malaysia,MYS,2002,pancreas cancer,1.0610464
Malaysia,MYS,2002,breast cancer,2.8422167
Malaysia,MYS,2002,corpus uteri cancer,0.39035174
Malaysia,MYS,2002,kidney cancer,0.43018708
Malaysia,MYS,2002,oesophagus cancer,0.7554113
Malaysia,MYS,2002,melanoma and other,0.25542045
Malaysia,MYS,2002,prostate cancer,0.7431325
Malaysia,MYS,2002,thyroid cancer,0.37855458
Malaysia,MYS,2002,testicular cancer,0.03850397
Malaysia,MYS,2002,"trachea, bronchus, lung cancers",8.504701
Malaysia,MYS,2002,mouth and oropharynx cancers,2.328104
Malaysia,MYS,2002,ovary cancer,0.8084821
Malaysia,MYS,2002,larynx cancer,0.37241215
Malaysia,MYS,2002,gallbladder and biliary tract cancer,0.28265956
Malaysia,MYS,2002,cervix uteri cancer,1.0121486
Malaysia,MYS,2002,stomach cancer,2.077396
Malaysia,MYS,2002,brain and nervous system cancers,0.5676542
Malaysia,MYS,2002,liver cancer,3.5325198
Malaysia,MYS,2003,bladder cancer,0.39290556
Malaysia,MYS,2003,colon and rectum cancers,3.9379199
Malaysia,MYS,2003,pancreas cancer,1.1238928
Malaysia,MYS,2003,breast cancer,3.0181
Malaysia,MYS,2003,corpus uteri cancer,0.40286234
Malaysia,MYS,2003,kidney cancer,0.48453277
Malaysia,MYS,2003,oesophagus cancer,0.74708164
Malaysia,MYS,2003,melanoma and other,0.24296571
Malaysia,MYS,2003,prostate cancer,0.7398791
Malaysia,MYS,2003,thyroid cancer,0.39869088
Malaysia,MYS,2003,testicular cancer,0.06327179
Malaysia,MYS,2003,"trachea, bronchus, lung cancers",8.24972
Malaysia,MYS,2003,mouth and oropharynx cancers,2.440795
Malaysia,MYS,2003,ovary cancer,0.98221433
Malaysia,MYS,2003,larynx cancer,0.21918851
Malaysia,MYS,2003,gallbladder and biliary tract cancer,0.25422883
Malaysia,MYS,2003,cervix uteri cancer,1.1183949
Malaysia,MYS,2003,stomach cancer,2.1727238
Malaysia,MYS,2003,brain and nervous system cancers,0.53600484
Malaysia,MYS,2003,liver cancer,3.5130236
Malaysia,MYS,2004,bladder cancer,0.6263024
Malaysia,MYS,2004,colon and rectum cancers,3.9507442
Malaysia,MYS,2004,pancreas cancer,1.2212417
Malaysia,MYS,2004,breast cancer,3.2987192
Malaysia,MYS,2004,corpus uteri cancer,0.37129945
Malaysia,MYS,2004,kidney cancer,0.48224938
Malaysia,MYS,2004,oesophagus cancer,0.8343849
Malaysia,MYS,2004,melanoma and other,0.259325
Malaysia,MYS,2004,prostate cancer,0.8379075
Malaysia,MYS,2004,thyroid cancer,0.4308155
Malaysia,MYS,2004,testicular cancer,0.06406659
Malaysia,MYS,2004,"trachea, bronchus, lung cancers",8.627332
Malaysia,MYS,2004,mouth and oropharynx cancers,2.4686635
Malaysia,MYS,2004,ovary cancer,0.9889239
Malaysia,MYS,2004,larynx cancer,0.3308816
Malaysia,MYS,2004,gallbladder and biliary tract cancer,0.1857212
Malaysia,MYS,2004,cervix uteri cancer,1.166817
Malaysia,MYS,2004,stomach cancer,1.9694736
Malaysia,MYS,2004,brain and nervous system cancers,0.52850825
Malaysia,MYS,2004,liver cancer,3.7935493
Malaysia,MYS,2005,bladder cancer,0.48679596
Malaysia,MYS,2005,colon and rectum cancers,3.8462906
Malaysia,MYS,2005,pancreas cancer,1.1649904
Malaysia,MYS,2005,breast cancer,3.5285592
Malaysia,MYS,2005,corpus uteri cancer,0.38726506
Malaysia,MYS,2005,kidney cancer,0.5016205
Malaysia,MYS,2005,oesophagus cancer,0.7744239
Malaysia,MYS,2005,melanoma and other,0.40631726
Malaysia,MYS,2005,prostate cancer,0.7654697
Malaysia,MYS,2005,thyroid cancer,0.3498232
Malaysia,MYS,2005,testicular cancer,0.04609606
Malaysia,MYS,2005,"trachea, bronchus, lung cancers",8.964529
Malaysia,MYS,2005,mouth and oropharynx cancers,2.3101416
Malaysia,MYS,2005,ovary cancer,0.9647795
Malaysia,MYS,2005,larynx cancer,0.2667807
Malaysia,MYS,2005,gallbladder and biliary tract cancer,0.37047213
Malaysia,MYS,2005,cervix uteri cancer,1.1441009
Malaysia,MYS,2005,stomach cancer,2.0629716
Malaysia,MYS,2005,brain and nervous system cancers,0.53588074
Malaysia,MYS,2005,liver cancer,3.3083007
Malaysia,MYS,2006,bladder cancer,0.6061855
Malaysia,MYS,2006,colon and rectum cancers,4.0141854
Malaysia,MYS,2006,pancreas cancer,1.1558572
Malaysia,MYS,2006,breast cancer,3.7150886
Malaysia,MYS,2006,corpus uteri cancer,0.3263207
