Entity,Code,Year,"Age standardized deaths from malignant neoplasms 100,000 people",Sex
Albania,ALB,1987,127.92521,1
Albania,ALB,1988,145.433,1
Albania,ALB,1989,135.99101,1
Albania,ALB,1992,107.01872,1
Albania,ALB,1993,94.83256,1
Albania,ALB,1994,87.00372,1
Albania,ALB,1995,119.50186,1
Albania,ALB,1996,131.18149,1
Albania,ALB,1997,122.68798,1
Albania,ALB,1998,129.04938,1
Albania,ALB,1999,132.01044,1
Albania,ALB,2000,137.37955,1
Albania,ALB,2001,101.385345,1
Albania,ALB,2002,115.45181,1
Albania,ALB,2003,126.86263,1
Albania,ALB,2004,118.16469,1
Albania,ALB,2005,110.1895,1
Albania,ALB,2006,104.67305,1
Albania,ALB,2007,92.39577,1
Albania,ALB,2008,101.65469,1
Albania,ALB,2009,94.83855,1
Albania,ALB,2010,70.34519,1
Antigua and Barbuda,ATG,1961,83.746475,1
Antigua and Barbuda,ATG,1962,98.45095,1
Antigua and Barbuda,ATG,1963,139.3095,1
Antigua and Barbuda,ATG,1964,274.1866,1
Antigua and Barbuda,ATG,1966,206.88705,1
Antigua and Barbuda,ATG,1969,141.58443,1
Antigua and Barbuda,ATG,1970,78.508995,1
Antigua and Barbuda,ATG,1971,98.076256,1
Antigua and Barbuda,ATG,1972,107.29339,1
Antigua and Barbuda,ATG,1973,96.969696,1
Antigua and Barbuda,ATG,1974,147.82912,1
Antigua and Barbuda,ATG,1975,155.05405,1
Antigua and Barbuda,ATG,1976,145.8658,1
Antigua and Barbuda,ATG,1977,174.276,1
Antigua and Barbuda,ATG,1978,128.48357,1
Antigua and Barbuda,ATG,1983,139.82816,1
Antigua and Barbuda,ATG,1985,178.63919,1
Antigua and Barbuda,ATG,1986,141.61482,1
Antigua and Barbuda,ATG,1987,147.2137,1
Antigua and Barbuda,ATG,1988,101.937355,1
Antigua and Barbuda,ATG,1989,151.0588,1
Antigua and Barbuda,ATG,1990,140.15842,1
Antigua and Barbuda,ATG,1991,130.93408,1
Antigua and Barbuda,ATG,1992,132.16623,1
Antigua and Barbuda,ATG,1993,135.90773,1
Antigua and Barbuda,ATG,1994,167.70824,1
Antigua and Barbuda,ATG,1995,125.46919,1
Antigua and Barbuda,ATG,1998,142.01443,1
Antigua and Barbuda,ATG,1999,156.8983,1
Antigua and Barbuda,ATG,2000,178.20854,1
Antigua and Barbuda,ATG,2001,140.35306,1
Antigua and Barbuda,ATG,2002,128.24442,1
Antigua and Barbuda,ATG,2003,164.08401,1
Antigua and Barbuda,ATG,2004,178.15663,1
Antigua and Barbuda,ATG,2005,116.86003,1
Antigua and Barbuda,ATG,2006,85.23276,1
Antigua and Barbuda,ATG,2007,150.82999,1
Antigua and Barbuda,ATG,2008,134.1295,1
Antigua and Barbuda,ATG,2009,108.86144,1
Antigua and Barbuda,ATG,2010,105.52661,1
Antigua and Barbuda,ATG,2011,112.49233,1
Antigua and Barbuda,ATG,2012,140.30862,1
Antigua and Barbuda,ATG,2013,130.04662,1
Antigua and Barbuda,ATG,2014,175.92052,1
Antigua and Barbuda,ATG,2015,105.66022,1
Antigua and Barbuda,ATG,2016,106.56011,1
Antigua and Barbuda,ATG,2017,109.169334,1
Antigua and Barbuda,ATG,2018,112.491325,1
Antigua and Barbuda,ATG,2019,111.94137,1
Antigua and Barbuda,ATG,2020,123.89706,1
Antigua and Barbuda,ATG,2021,109.1851,1
Argentina,ARG,1966,185.47083,1
Argentina,ARG,1967,211.94438,1
Argentina,ARG,1968,219.62428,1
Argentina,ARG,1969,215.76762,1
Argentina,ARG,1970,215.57637,1
Argentina,ARG,1977,182.80717,1
Argentina,ARG,1978,184.98238,1
Argentina,ARG,1979,187.24649,1
Argentina,ARG,1980,184.31998,1
Argentina,ARG,1981,195.71707,1
Argentina,ARG,1982,166.436,1
Argentina,ARG,1983,168.81053,1
Argentina,ARG,1984,177.14665,1
Argentina,ARG,1985,172.90802,1
Argentina,ARG,1986,174.48364,1
Argentina,ARG,1987,179.38278,1
