Entity,Code,Year,"Age-standardized deaths from malignant neoplasms in males per 100,000 people","Age-standardized deaths from malignant neoplasms in females per 100,000 people"
Albania,ALB,1987,127.92521,56.078907
Albania,ALB,1988,145.433,61.547974
Albania,ALB,1989,135.99101,57.6666
Albania,ALB,1992,107.01872,47.250744
Albania,ALB,1993,94.83256,41.87241
Albania,ALB,1994,87.00372,37.84582
Albania,ALB,1995,119.50186,46.958687
Albania,ALB,1996,131.18149,55.724636
Albania,ALB,1997,122.68798,52.53507
Albania,ALB,1998,129.04938,55.30699
Albania,ALB,1999,132.01044,60.91365
Albania,ALB,2000,137.37955,62.379745
Albania,ALB,2001,101.385345,52.397694
Albania,ALB,2002,115.45181,59.539692
Albania,ALB,2003,126.86263,65.57443
Albania,ALB,2004,118.16469,64.23672
Albania,ALB,2005,110.1895,56.951637
Albania,ALB,2006,104.67305,59.139004
Albania,ALB,2007,92.39577,47.053272
Albania,ALB,2008,101.65469,51.896545
Albania,ALB,2009,94.83855,49.414948
Albania,ALB,2010,70.34519,37.608788
Antigua and Barbuda,ATG,1961,83.746475,143.30899
Antigua and Barbuda,ATG,1962,98.45095,111.55439
Antigua and Barbuda,ATG,1963,139.3095,178.19795
Antigua and Barbuda,ATG,1964,274.1866,120.33757
Antigua and Barbuda,ATG,1966,206.88705,101.096146
Antigua and Barbuda,ATG,1969,141.58443,171.30688
Antigua and Barbuda,ATG,1970,78.508995,151.47098
Antigua and Barbuda,ATG,1971,98.076256,211.71179
Antigua and Barbuda,ATG,1972,107.29339,203.3976
Antigua and Barbuda,ATG,1973,96.969696,195.6164
Antigua and Barbuda,ATG,1974,147.82912,90.44605
Antigua and Barbuda,ATG,1975,155.05405,216.56433
Antigua and Barbuda,ATG,1976,145.8658,215.57812
Antigua and Barbuda,ATG,1977,174.276,174.57465
Antigua and Barbuda,ATG,1978,128.48357,147.44414
Antigua and Barbuda,ATG,1983,139.82816,30.969406
Antigua and Barbuda,ATG,1985,178.63919,84.64631
Antigua and Barbuda,ATG,1986,141.61482,49.096672
Antigua and Barbuda,ATG,1987,147.2137,103.937454
Antigua and Barbuda,ATG,1988,101.937355,37.16752
Antigua and Barbuda,ATG,1989,151.0588,115.799995
Antigua and Barbuda,ATG,1990,140.15842,113.237854
Antigua and Barbuda,ATG,1991,130.93408,88.93727
Antigua and Barbuda,ATG,1992,132.16623,102.081184
Antigua and Barbuda,ATG,1993,135.90773,57.83731
Antigua and Barbuda,ATG,1994,167.70824,132.91646
Antigua and Barbuda,ATG,1995,125.46919,103.811676
Antigua and Barbuda,ATG,1998,142.01443,82.923256
Antigua and Barbuda,ATG,1999,156.8983,75.08562
Antigua and Barbuda,ATG,2000,178.20854,108.01071
Antigua and Barbuda,ATG,2001,140.35306,73.25417
Antigua and Barbuda,ATG,2002,128.24442,93.85504
Antigua and Barbuda,ATG,2003,164.08401,76.972336
Antigua and Barbuda,ATG,2004,178.15663,104.25234
Antigua and Barbuda,ATG,2005,116.86003,80.63853
Antigua and Barbuda,ATG,2006,85.23276,86.80691
Antigua and Barbuda,ATG,2007,150.82999,95.31083
Antigua and Barbuda,ATG,2008,134.1295,79.06527
Antigua and Barbuda,ATG,2009,108.86144,63.257027
Antigua and Barbuda,ATG,2010,105.52661,83.2799
Antigua and Barbuda,ATG,2011,112.49233,67.92685
Antigua and Barbuda,ATG,2012,140.30862,83.579216
Antigua and Barbuda,ATG,2013,130.04662,73.46031
Antigua and Barbuda,ATG,2014,175.92052,104.9043
Antigua and Barbuda,ATG,2015,105.66022,78.59703
