Entity,Code,Year,Age,"Deaths from malignant neoplasms per 100,000 people in, both sexes"
Albania,ALB,1987,0-1,0.0
Albania,ALB,1988,0-1,0.0
Albania,ALB,1989,0-1,0.0
Albania,ALB,1992,0-1,0.0
Albania,ALB,1993,0-1,29.94012
Albania,ALB,1994,0-1,29.871977
Albania,ALB,1995,0-1,4.2674255
Albania,ALB,1996,0-1,3.1298904
Albania,ALB,1997,0-1,6.514658
Albania,ALB,1998,0-1,9.868421
Albania,ALB,1999,0-1,4.901961
Albania,ALB,2000,0-1,5.3097343
Albania,ALB,2001,0-1,9.59914
Albania,ALB,2002,0-1,3.8328862
Albania,ALB,2003,0-1,21.802902
Albania,ALB,2004,0-1,6.1656084
Albania,ALB,2005,0-1,12.246497
Albania,ALB,2006,0-1,7.831876
Albania,ALB,2007,0-1,0.0
Albania,ALB,2008,0-1,8.481285
Albania,ALB,2009,0-1,0.0
Albania,ALB,2010,0-1,2.8134935
Antigua and Barbuda,ATG,1961,0-1,0.0
Antigua and Barbuda,ATG,1962,0-1,55.555557
Antigua and Barbuda,ATG,1963,0-1,0.0
Antigua and Barbuda,ATG,1964,0-1,0.0
Antigua and Barbuda,ATG,1966,0-1,0.0
Antigua and Barbuda,ATG,1969,0-1,0.0
Antigua and Barbuda,ATG,1970,0-1,104.00416
Antigua and Barbuda,ATG,1971,0-1,0.0
Antigua and Barbuda,ATG,1972,0-1,0.0
Antigua and Barbuda,ATG,1973,0-1,54.555374
Antigua and Barbuda,ATG,1974,0-1,0.0
Antigua and Barbuda,ATG,1975,0-1,0.0
Antigua and Barbuda,ATG,1976,0-1,0.0
Antigua and Barbuda,ATG,1977,0-1,0.0
Antigua and Barbuda,ATG,1978,0-1,0.0
Antigua and Barbuda,ATG,1983,0-1,0.0
Antigua and Barbuda,ATG,1985,0-1,0.0
Antigua and Barbuda,ATG,1986,0-1,0.0
Antigua and Barbuda,ATG,1987,0-1,0.0
Antigua and Barbuda,ATG,1988,0-1,0.0
Antigua and Barbuda,ATG,1989,0-1,0.0
Antigua and Barbuda,ATG,1990,0-1,0.0
Antigua and Barbuda,ATG,1991,0-1,0.0
Antigua and Barbuda,ATG,1992,0-1,0.0
Antigua and Barbuda,ATG,1993,0-1,0.0
Antigua and Barbuda,ATG,1994,0-1,0.0
Antigua and Barbuda,ATG,1995,0-1,0.0
Antigua and Barbuda,ATG,1998,0-1,0.0
Antigua and Barbuda,ATG,1999,0-1,0.0
Antigua and Barbuda,ATG,2000,0-1,0.0
Antigua and Barbuda,ATG,2001,0-1,0.0
Antigua and Barbuda,ATG,2002,0-1,0.0
Antigua and Barbuda,ATG,2003,0-1,0.0
Antigua and Barbuda,ATG,2004,0-1,0.0
Antigua and Barbuda,ATG,2005,0-1,0.0
